ITEMNMBR,ITEMDESC,LOCNCODE,LOCATION_NAME,available_units,on_hand_units,forecast_units_monthly,daily_forecast_units,recent_3m_cleaned_avg,recent_12m_suppressed_units,stockout_months_last12,dominant_super_channel,channel_forecast_breakdown,lead_time_days,lead_time_source,service_z,safety_stock_units,reorder_point_units,target_inventory_units,inventory_gap_units,days_of_supply,projected_runout_date,alert_status,priority,suggested_order_date,recommended_order_units,recommended_order_units_rounded,recommended_order_cases,case_pack_units,moq_units,vendor_id,manufacturer,estimated_unit_cost,estimated_order_cost,vendor_brand,vendor_product_line,vendor_category,vendor_status,shipment_terms,planning_note,assumption_notes
F-04220,POP Ginger Chews Original 2 oz(24ct/cs),3,LA,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,91.2,item_spec,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,,,,,SNA,,,,,,,,Use blended defaults and review unusual items manually.,Primary vendor missing; Demand history too light for standard reorder rule
F-04221,POP Ginger Chews Lemon 2 oz(24ct/cs),3,LA,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,91.2,item_spec,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,,,,,SNA,,,,,,,,Use blended defaults and review unusual items manually.,Primary vendor missing; Demand history too light for standard reorder rule
T-31510R,"Tiger Balm 18g, Ultra/St - RFID",3,LA,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,34.0,po_history_item,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,,,,LC9T12A,,30.72,,Tiger Balm,Tiger Balm,T,ACTIVE,CIF,Use blended defaults and review unusual items manually.,Demand history too light for standard reorder rule
T-32224,Tiger Balm Single Patch (2x12),3,LA,0.0,0.0,0.0,0.0,0.0,0.0,0,Other,,90.0,default_90d,1.25,0.0,0.0,0.0,0.0,,,No recent demand,Low,,0.0,0,,,,,,,,,,,,,Use blended defaults and review unusual items manually.,Lead time fallback used; Primary vendor missing; Demand history too light for standard reorder rule
F-50139,Gavottes Crepes 500g,1,SF,3.0,21.0,0.0,0.0,0.0,0.0,0,Other,,100.0,po_history_item,1.25,0.0,0.0,0.0,-3.0,,,No recent demand,Low,,0.0,0,,,,IM9LO3A,,71.73,,Loc Maria,Trou Mad,F,ACTIVE,EXW,Use blended defaults and review unusual items manually.,Demand history too light for standard reorder rule
AC-B3SLJ,AM GSG Slices 3 oz Bag-Jumbo,3,LA,233.0,709.0,3.9,0.13,0.0,94.5,4,American Market,Asian Market:3.0; Health Food:0.4; eCom:0.3; Other:0.2,90.0,default_90d,1.4,80.6,92.2,98.2,-140.8,1808.5,2031-03-31,Healthy,Low,2029-04-14,0.0,0,0.0,12.0,,,POP ,,,,,,,,Blend recent trend with seasonal planogram behavior.,Lead time fallback used; Suppressed demand uplift included; Primary vendor missing
F-50139,Gavottes Crepes 500g,2,NJ,173.0,191.0,0.0,0.0,0.0,0.0,0,Other,,99.0,po_history_item_location,1.25,0.0,0.0,0.0,-173.0,,,No recent demand,Low,,0.0,0,,,,IM9LO3A,,69.48,,Loc Maria,Trou Mad,F,ACTIVE,EXW,Use blended defaults and review unusual items manually.,Demand history too light for standard reorder rule
AC-B6SLJ,AM GSG Slices 6 oz Bag-Jumbo,2,NJ,636.0,665.0,52.4,1.73,0.0,0.0,0,eCom,eCom:25.5; Health Food:15.9; Asian Market:6.5; American Market:4.5; Other:0.0,90.0,default_90d,1.05,302.0,457.3,512.5,-178.7,368.7,2027-04-21,Healthy,Low,2026-07-30,0.0,0,0.0,12.0,,,POP ,,,,,,,,Use longer trailing history for long-tail demand.,Lead time fallback used; Primary vendor missing
F-20141,Ferrero Coll. 24 pcs (w/Hazelnut)#20148,2,NJ,432.0,432.0,150.8,4.96,156.7,158.0,1,American Market,American Market:106.1; Asian Market:38.0; Health Food:4.4; Other:2.4,16.0,po_history_item_location,1.4,163.7,243.1,416.8,-188.9,87.1,2026-07-14,Healthy,Low,2026-05-26,0.0,0,0.0,6.0,,DM9FE1A,Ferrero USA,45.59,,Ferrero,Ferrero/ Kinder/Nutella,F,ACTIVE,ToDoor/Delivery,Blend recent trend with seasonal planogram behavior.,Suppressed demand uplift included
F-00378,Loacker GP Dark Hazelnut 3.53oz(#10338),1,SF,192.0,276.0,0.0,0.0,0.0,0.0,0,Other,,101.0,po_history_item_location,1.25,0.0,0.0,0.0,-192.0,,,No recent demand,Low,,0.0,0,0.0,12.0,,DM2LO9A,Loacker,25.61,,Loacker,Loacker,F,ACTIVE,CIF,Use blended defaults and review unusual items manually.,Demand history too light for standard reorder rule
AC-B8BK,AM GSG Root (Mixed) 8 oz Bag,2,NJ,1706.0,1865.0,217.6,7.16,0.0,584.0,1,American Market,Asian Market:60.0; Other:29.0; American Market:15.7; Health Food:15.5,90.0,default_90d,1.4,865.0,1509.2,1838.4,-196.8,238.4,2026-12-12,Healthy,Low,2026-05-15,132.4,168,4.0,42.0,,,POP ,,,,,,,,Blend recent trend with seasonal planogram behavior.,Lead time fallback used; Suppressed demand uplift included; Primary vendor missing
